trade_id,BioGuideID,Name,Party,Chamber,Ticker,trade_date,Transaction,Trade_Size_USD,sector,anomaly_if,anomaly_svm,anomaly_lof_contextual,anomaly_collective,anomaly_vote_count,anomaly_consensus_2,anomaly_score_ensemble,car_ff3_30d,car_ff3_60d,car_ff3_90d
21906,F000450,Virginia Foxx,R,House,MO,2023-10-11,Purchase,"$1,001 - $15,000",Consumer Defensive,0,0,0,0,0,0,0.11166636313854329,-0.05564346952011823,-0.06241243647674208,-0.0957147023069104
21713,F000450,Virginia Foxx,R,House,HTGC,2023-10-20,Purchase,"$1,001 - $15,000",Financial Services,0,0,0,0,0,0,0.0971934854241513,-0.0974264398307977,-0.02396911307874358,0.031001678956133066
21693,F000450,Virginia Foxx,R,House,HTGC,2023-10-23,Purchase,"$1,001 - $15,000",Financial Services,0,0,0,0,0,0,0.1640685997629707,-0.08147952829156085,-0.007620284858288001,0.08952793184321695
21575,F000450,Virginia Foxx,R,House,HTGC,2023-10-25,Purchase,"$1,001 - $15,000",Financial Services,0,0,0,0,0,0,0.13166480498347588,-0.08383697124463535,-0.000262676727201816,0.05528424154759212
20843,F000450,Virginia Foxx,R,House,USDP,2023-11-10,Sale,"$1,001 - $15,000",Industrials,1,0,0,0,1,0,0.3063961118287826,-0.32578930580831067,-0.43123376764029675,-0.5074678418909624
20758,F000450,Virginia Foxx,R,House,ARLP,2023-11-15,Purchase,"$1,001 - $15,000",Energy,0,0,0,0,0,0,0.0959692137497076,-0.13748519004238074,-0.13183842384276412,-0.19145821320517778
20670,F000450,Virginia Foxx,R,House,CRT,2023-11-28,Purchase,"$1,001 - $15,000",Energy,0,1,0,0,1,0,0.2771366154306701,-0.20965695910902418,-0.2345146344893478,-0.5074678418909624
20668,F000450,Virginia Foxx,R,House,FLNG,2023-11-28,Purchase,"$1,001 - $15,000",Energy,0,0,0,0,0,0,0.2155998136108259,-0.0265685729944993,-0.22052981708409247,-0.22552722327453123
20663,F000450,Virginia Foxx,R,House,CRT,2023-11-29,Purchase,"$1,001 - $15,000",Energy,0,1,0,0,1,0,0.27599675125441914,-0.17746630969331323,-0.20060331013164107,-0.48540950524026494
20570,F000450,Virginia Foxx,R,House,FLNG,2023-12-04,Purchase,"$1,001 - $15,000",Energy,0,0,0,0,0,0,0.08095892673108367,-0.01327317539326845,-0.1849275148805472,-0.17523800340235973
20423,F000450,Virginia Foxx,R,House,CRT,2023-12-08,Purchase,"$1,001 - $15,000",Energy,0,1,0,0,1,0,0.2782486984240598,-0.1005034538004529,-0.19204181048439672,-0.332745829944859
